##['TANGGAL', 'JAM', 'SEQUENCE', 'EMITEN', 'OPEN_PRICE', 'HIGH_PRICE', 'LOW_PRICE', 'CLOSE_PRICE', 'VOLUME', 'VALUE', 'FREQUENCY']
['20200226', '030042', '00002195', 'JKON', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002196', 'JKSW', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002197', 'JPFA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002198', 'JPRS', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002199', 'JRPT', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002200', 'JSMR', '00000006000.00', '00000006000.00', '00000006000.00', '00000006000.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002201', 'JSPT', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002202', 'JTPE', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002203', 'KAEF', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002204', 'KARW', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002205', 'KBLI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002206', 'KBLM', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002207', 'KBLV', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002208', 'KBRI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002209', 'KDSI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002210', 'KIAS', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002211', 'KICI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002212', 'KIJA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002213', 'KINO', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002214', 'KKGI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002215', 'KLBF', '00000001355.00', '00000001355.00', '00000001355.00', '00000001355.00', '000000000000', '0000000000000000', '0000000']
